zip,eiaid,utility_name,state,service_type,ownership,comm_rate,ind_rate,res_rate
38858,55,City of Aberdeen - (MS),MS,Bundled,Municipal,0.108122634,0.051382483,0.110196345
39730,55,City of Aberdeen - (MS),MS,Bundled,Municipal,0.108122634,0.051382483,0.110196345
70510,59,City of Abbeville - (LA),LA,Bundled,Municipal,0.110180807,0.086184148,0.104305718
21824,84,A & N Electric Coop,MD,Bundled,Cooperative,0.129739777,0,0.123742637
21851,84,A & N Electric Coop,MD,Bundled,Cooperative,0.129739777,0,0.123742637
21866,84,A & N Electric Coop,MD,Bundled,Cooperative,0.129739777,0,0.123742637
21864,84,A & N Electric Coop,MD,Bundled,Cooperative,0.129739777,0,0.123742637
21863,84,A & N Electric Coop,MD,Bundled,Cooperative,0.129739777,0,0.123742637
23345,84,A & N Electric Coop,VA,Bundled,Cooperative,0.112738597,0.091351717,0.120276388
23347,84,A & N Electric Coop,VA,Bundled,Cooperative,0.112738597,0.091351717,0.120276388
23313,84,A & N Electric Coop,VA,Bundled,Cooperative,0.112738597,0.091351717,0.120276388
23310,84,A & N Electric Coop,VA,Bundled,Cooperative,0.112738597,0.091351717,0.120276388
23316,84,A & N Electric Coop,VA,Bundled,Cooperative,0.112738597,0.091351717,0.120276388
23443,84,A & N Electric Coop,VA,Bundled,Cooperative,0.112738597,0.091351717,0.120276388
23395,84,A & N Electric Coop,VA,Bundled,Cooperative,0.112738597,0.091351717,0.120276388
23404,84,A & N Electric Coop,VA,Bundled,Cooperative,0.112738597,0.091351717,0.120276388
23405,84,A & N Electric Coop,VA,Bundled,Cooperative,0.112738597,0.091351717,0.120276388
23401,84,A & N Electric Coop,VA,Bundled,Cooperative,0.112738597,0.091351717,0.120276388
23408,84,A & N Electric Coop,VA,Bundled,Cooperative,0.112738597,0.091351717,0.120276388
23409,84,A & N Electric Coop,VA,Bundled,Cooperative,0.112738597,0.091351717,0.120276388
23488,84,A & N Electric Coop,VA,Bundled,Cooperative,0.112738597,0.091351717,0.120276388
23486,84,A & N Electric Coop,VA,Bundled,Cooperative,0.112738597,0.091351717,0.120276388
23482,84,A & N Electric Coop,VA,Bundled,Cooperative,0.112738597,0.091351717,0.120276388
23480,84,A & N Electric Coop,VA,Bundled,Cooperative,0.112738597,0.091351717,0.120276388
23483,84,A & N Electric Coop,VA,Bundled,Cooperative,0.112738597,0.091351717,0.120276388
23407,84,A & N Electric Coop,VA,Bundled,Cooperative,0.112738597,0.091351717,0.120276388
23336,84,A & N Electric Coop,VA,Bundled,Cooperative,0.112738597,0.091351717,0.120276388
23337,84,A & N Electric Coop,VA,Bundled,Cooperative,0.112738597,0.091351717,0.120276388
23429,84,A & N Electric Coop,VA,Bundled,Cooperative,0.112738597,0.091351717,0.120276388
23426,84,A & N Electric Coop,VA,Bundled,Cooperative,0.112738597,0.091351717,0.120276388
23427,84,A & N Electric Coop,VA,Bundled,Cooperative,0.112738597,0.091351717,0.120276388
23420,84,A & N Electric Coop,VA,Bundled,Cooperative,0.112738597,0.091351717,0.120276388
23421,84,A & N Electric Coop,VA,Bundled,Cooperative,0.112738597,0.091351717,0.120276388
23422,84,A & N Electric Coop,VA,Bundled,Cooperative,0.112738597,0.091351717,0.120276388
23423,84,A & N Electric Coop,VA,Bundled,Cooperative,0.112738597,0.091351717,0.120276388
23308,84,A & N Electric Coop,VA,Bundled,Cooperative,0.112738597,0.091351717,0.120276388
23301,84,A & N Electric Coop,VA,Bundled,Cooperative,0.112738597,0.091351717,0.120276388
23303,84,A & N Electric Coop,VA,Bundled,Cooperative,0.112738597,0.091351717,0.120276388
23302,84,A & N Electric Coop,VA,Bundled,Cooperative,0.112738597,0.091351717,0.120276388
23307,84,A & N Electric Coop,VA,Bundled,Cooperative,0.112738597,0.091351717,0.120276388
23306,84,A & N Electric Coop,VA,Bundled,Cooperative,0.112738597,0.091351717,0.120276388
23389,84,A & N Electric Coop,VA,Bundled,Cooperative,0.112738597,0.091351717,0.120276388
23357,84,A & N Electric Coop,VA,Bundled,Cooperative,0.112738597,0.091351717,0.120276388
23354,84,A & N Electric Coop,VA,Bundled,Cooperative,0.112738597,0.091351717,0.120276388
23350,84,A & N Electric Coop,VA,Bundled,Cooperative,0.112738597,0.091351717,0.120276388
23415,84,A & N Electric Coop,VA,Bundled,Cooperative,0.112738597,0.091351717,0.120276388
23414,84,A & N Electric Coop,VA,Bundled,Cooperative,0.112738597,0.091351717,0.120276388
23417,84,A & N Electric Coop,VA,Bundled,Cooperative,0.112738597,0.091351717,0.120276388
23416,84,A & N Electric Coop,VA,Bundled,Cooperative,0.112738597,0.091351717,0.120276388
23410,84,A & N Electric Coop,VA,Bundled,Cooperative,0.112738597,0.091351717,0.120276388
23413,84,A & N Electric Coop,VA,Bundled,Cooperative,0.112738597,0.091351717,0.120276388
23412,84,A & N Electric Coop,VA,Bundled,Cooperative,0.112738597,0.091351717,0.120276388
23419,84,A & N Electric Coop,VA,Bundled,Cooperative,0.112738597,0.091351717,0.120276388
23418,84,A & N Electric Coop,VA,Bundled,Cooperative,0.112738597,0.091351717,0.120276388
23356,84,A & N Electric Coop,VA,Bundled,Cooperative,0.112738597,0.091351717,0.120276388
23358,84,A & N Electric Coop,VA,Bundled,Cooperative,0.112738597,0.091351717,0.120276388
23359,84,A & N Electric Coop,VA,Bundled,Cooperative,0.112738597,0.091351717,0.120276388
23442,84,A & N Electric Coop,VA,Bundled,Cooperative,0.112738597,0.091351717,0.120276388
23440,84,A & N Electric Coop,VA,Bundled,Cooperative,0.112738597,0.091351717,0.120276388
23441,84,A & N Electric Coop,VA,Bundled,Cooperative,0.112738597,0.091351717,0.120276388
23398,84,A & N Electric Coop,VA,Bundled,Cooperative,0.112738597,0.091351717,0.120276388
23399,84,A & N Electric Coop,VA,Bundled,Cooperative,0.112738597,0.091351717,0.120276388
23396,84,A & N Electric Coop,VA,Bundled,Cooperative,0.112738597,0.091351717,0.120276388
23341,84,A & N Electric Coop,VA,Bundled,Cooperative,0.112738597,0.091351717,0.120276388
62360,97,Adams Electric Coop,IL,Bundled,Cooperative,0.102942582,0,0.147081115
62376,97,Adams Electric Coop,IL,Bundled,Cooperative,0.102942582,0,0.147081115
62375,97,Adams Electric Coop,IL,Bundled,Cooperative,0.102942582,0,0.147081115
62373,97,Adams Electric Coop,IL,Bundled,Cooperative,0.102942582,0,0.147081115
61452,97,Adams Electric Coop,IL,Bundled,Cooperative,0.102942582,0,0.147081115
61455,97,Adams Electric Coop,IL,Bundled,Cooperative,0.102942582,0,0.147081115
62320,97,Adams Electric Coop,IL,Bundled,Cooperative,0.102942582,0,0.147081115
62379,97,Adams Electric Coop,IL,Bundled,Cooperative,0.102942582,0,0.147081115
62359,97,Adams Electric Coop,IL,Bundled,Cooperative,0.102942582,0,0.147081115
62319,97,Adams Electric Coop,IL,Bundled,Cooperative,0.102942582,0,0.147081115
62314,97,Adams Electric Coop,IL,Bundled,Cooperative,0.102942582,0,0.147081115
62316,97,Adams Electric Coop,IL,Bundled,Cooperative,0.102942582,0,0.147081115
62311,97,Adams Electric Coop,IL,Bundled,Cooperative,0.102942582,0,0.147081115
62312,97,Adams Electric Coop,IL,Bundled,Cooperative,0.102942582,0,0.147081115
62618,97,Adams Electric Coop,IL,Bundled,Cooperative,0.102942582,0,0.147081115
62611,97,Adams Electric Coop,IL,Bundled,Cooperative,0.102942582,0,0.147081115
62343,97,Adams Electric Coop,IL,Bundled,Cooperative,0.102942582,0,0.147081115
62340,97,Adams Electric Coop,IL,Bundled,Cooperative,0.102942582,0,0.147081115
62346,97,Adams Electric Coop,IL,Bundled,Cooperative,0.102942582,0,0.147081115
62347,97,Adams Electric Coop,IL,Bundled,Cooperative,0.102942582,0,0.147081115
62344,97,Adams Electric Coop,IL,Bundled,Cooperative,0.102942582,0,0.147081115
62345,97,Adams Electric Coop,IL,Bundled,Cooperative,0.102942582,0,0.147081115
62349,97,Adams Electric Coop,IL,Bundled,Cooperative,0.102942582,0,0.147081115
